address,city,state,zip,property_name,first_name,last_name,birth_date,annual_income
531 S San Julian Street,Los Angeles,CA,90013,RENATO APARTMENTS ,Raette,Frazeur,12/15/1990,80268
531 S San Julian Street,Los Angeles,CA,90013,RENATO APARTMENTS ,End,User,02/27/1983,103552
531 S San Julian Street,Los Angeles,CA,90013,RENATO APARTMENTS ,Sara,,03/24/1971,36079
531 S San Julian Street,Los Angeles,CA,90013,RENATO APARTMENTS ,Norma,,03/17/1995,95541
716-734 Yale Street,Los Angeles,CA,90042,Yale Terrace ,Nina,Schaefer,09/10/1986,140561
716-734 Yale Street,Los Angeles,CA,90042,Yale Terrace ,Jannah,Soria,01/08/1970,37785
7238 N CANBY AVE 1-98,Los Angeles,CA,91355,Canby Wood Senior Housing ,Natalie,Calderon,07/25/1970,76861
1717 Garfield Place,Los Angeles,CA,90028,5555  HOLLYWOOD BLVD (The Metro @ Hollywood) ,Cruz,Guardado,07/14/1980,52303
531 S San Julian Street,Los Angeles,CA,90013,RENATO APARTMENTS ,Lessie,Jones,08/03/1984,80010
1230 S Menlo Ave,Los Angeles,CA,90006,MENLO FAMILY HOUSING ,Martha,Dominguez,11/25/1971,122458
1230 S Menlo Ave,Los Angeles,CA,90006,MENLO FAMILY HOUSING ,JC,Nubla,02/02/1995,115612
816 Bartlett St,Los Angeles,CA,90012,Bartlett Hill Manor ,Jacqueline,Solano,05/18/1978,26501
816 Bartlett St,Los Angeles,CA,90012,Bartlett Hill Manor ,Simone,Rojas,08/14/1993,87011
5416 Fair Ave,Los Angeles,CA,91601,The Gallery @ Noho Commons ,Diane,Rombough,05/13/1982,64701
5416 Fair Ave,Los Angeles,CA,91601,The Gallery @ Noho Commons ,Nona,Slavtcheva,04/30/1992,83225
1717 Garfield Place,Los Angeles,CA,90028,5555  HOLLYWOOD BLVD (The Metro @ Hollywood) ,Debra,Bradley,03/10/1982,71964
716-734 Yale Street,Los Angeles,CA,90042,Yale Terrace ,Norma,,07/10/1970,114299
123 Main St,Los Angeles,CA,90017,Beta Training,Raette,Frazeur,07/09/1990,33009
716-734 Yale Street,Los Angeles,CA,90042,Yale Terrace ,End,User,03/20/1994,81471
137 N Soto St 1-20,Los Angeles,CA,90031,LAS MARGARITAS ,Donna,Lambe,08/31/1974,41878
137 N Soto St 1-20,Los Angeles,CA,90031,LAS MARGARITAS ,Erica,Soto,01/30/1991,122446
2619 W Wilshire Blvd,Los Angeles,CA,90057,2619 Wilshire Blvd ,Raette,F,09/08/1997,35566
2619 W Wilshire Blvd,Los Angeles,CA,90057,2619 Wilshire Blvd ,Tom,Redfern,06/09/1975,56735
531 S San Julian Street,Los Angeles,CA,90013,RENATO APARTMENTS ,Joseph,,07/12/1974,112877
531 S San Julian Street,Los Angeles,CA,90013,RENATO APARTMENTS ,Jacqueline,Santiago,12/25/1976,143053
531 S San Julian Street,Los Angeles,CA,90013,RENATO APARTMENTS ,Steven ,Van Zile ,09/20/1971,70106
531 S San Julian Street,Los Angeles,CA,90013,RENATO APARTMENTS ,Danelle,Conedy,12/13/1999,104543
716-734 Yale Street,Los Angeles,CA,90042,Yale Terrace ,Veronica,Cano,01/28/1982,146370
716-734 Yale Street,Los Angeles,CA,90042,Yale Terrace ,June,Valle,01/24/1990,67137
716-734 Yale Street,Los Angeles,CA,90042,Yale Terrace ,Cyndi,Natalello,10/28/1971,18272
716-734 Yale Street,Los Angeles,CA,90042,Yale Terrace ,Michele,Santiago,06/05/1974,84932
716-734 Yale Street,Los Angeles,CA,90042,Yale Terrace ,Minerva,Oliveros,07/22/1977,99260
716-734 Yale Street,Los Angeles,CA,90042,Yale Terrace ,Bonnie,Darrah,06/16/1983,53560
716-734 Yale Street,Los Angeles,CA,90042,Yale Terrace ,Erik,Aukland,03/02/1977,43293
716-734 Yale Street,Los Angeles,CA,90042,Yale Terrace ,Ena,Quinonez,01/29/1985,118535
137 N Soto St 1-20,Los Angeles,CA,90031,LAS MARGARITAS ,Alma,Flores,06/10/1981,89529
137 N Soto St 1-20,Los Angeles,CA,90031,LAS MARGARITAS ,Ruben ,Barraza,07/01/1991,130231
137 N Soto St 1-20,Los Angeles,CA,90031,LAS MARGARITAS ,Erica,Martinez,08/31/1974,36630
137 N Soto St 1-20,Los Angeles,CA,90031,LAS MARGARITAS ,Alejandro,Martinez,06/24/1985,147882
1717 Garfield Place,Los Angeles,CA,90028,5555  HOLLYWOOD BLVD (The Metro @ Hollywood) ,Kim,Pollack,06/20/1981,143087
1717 Garfield Place,Los Angeles,CA,90028,5555  HOLLYWOOD BLVD (The Metro @ Hollywood) ,Louie, Perez,05/22/1988,37717
1717 Garfield Place,Los Angeles,CA,90028,5555  HOLLYWOOD BLVD (The Metro @ Hollywood) ,Frannie,Hemmelgarn,07/19/1975,52839
1717 Garfield Place,Los Angeles,CA,90028,5555  HOLLYWOOD BLVD (The Metro @ Hollywood) ,Wendy ,Rivera,01/16/1970,19481
1717 Garfield Place,Los Angeles,CA,90028,5555  HOLLYWOOD BLVD (The Metro @ Hollywood) ,Shantel ,Younan,01/19/1981,95587
1717 Garfield Place,Los Angeles,CA,90028,5555  HOLLYWOOD BLVD (The Metro @ Hollywood) ,Martha,Cisneros,02/15/1999,149822
1717 Garfield Place,Los Angeles,CA,90028,5555  HOLLYWOOD BLVD (The Metro @ Hollywood) ,Lidia,Agirian,09/05/1972,72335
1230 S Menlo Ave,Los Angeles,CA,90006,MENLO FAMILY HOUSING ,Lupe, Agoncillo,06/10/1999,85971
1230 S Menlo Ave,Los Angeles,CA,90006,MENLO FAMILY HOUSING ,Paul,Chan,11/13/1993,55430
1230 S Menlo Ave,Los Angeles,CA,90006,MENLO FAMILY HOUSING ,Ana,Alvarez,01/04/1978,57441
1230 S Menlo Ave,Los Angeles,CA,90006,MENLO FAMILY HOUSING ,Roberta,Alvarez-Guzman,08/23/1997,88504
1230 S Menlo Ave,Los Angeles,CA,90006,MENLO FAMILY HOUSING ,Clint,Saiki,11/19/1971,96603
1230 S Menlo Ave,Los Angeles,CA,90006,MENLO FAMILY HOUSING ,Alesia ,Lumford,08/21/1997,111929
1230 S Menlo Ave,Los Angeles,CA,90006,MENLO FAMILY HOUSING ,Dwayne,Conrad,11/18/1996,48212
7238 N CANBY AVE 1-98,Los Angeles,CA,91355,Canby Wood Senior Housing ,Bonni, Peery,05/08/1991,109677
7238 N CANBY AVE 1-98,Los Angeles,CA,91355,Canby Wood Senior Housing ,Sue,Silva,04/09/1983,17961
7238 N CANBY AVE 1-98,Los Angeles,CA,91355,Canby Wood Senior Housing ,Abel,Barragan,11/30/1999,119171
7238 N CANBY AVE 1-98,Los Angeles,CA,91355,Canby Wood Senior Housing ,Natalie,Calderon,10/13/1997,47592
7238 N CANBY AVE 1-98,Los Angeles,CA,91355,Canby Wood Senior Housing ,Elena,Theisner,12/26/1987,32712
7238 N CANBY AVE 1-98,Los Angeles,CA,91355,Canby Wood Senior Housing ,Alfred,Chavez,06/04/1971,112190
7238 N CANBY AVE 1-98,Los Angeles,CA,91355,Canby Wood Senior Housing ,Ana,Estrada,07/25/1985,64212
816 Bartlett St,Los Angeles,CA,90012,Bartlett Hill Manor ,David,,03/15/1982,129310
5416 Fair Ave,Los Angeles,CA,91601,The Gallery @ Noho Commons ,Diane,Wehmeyer,06/29/1971,105992
5416 Fair Ave,Los Angeles,CA,91601,The Gallery @ Noho Commons ,Behringer,Harvard,10/01/1978,64062
5416 Fair Ave,Los Angeles,CA,91601,The Gallery @ Noho Commons ,Elizabeth,Sandoval,05/29/1972,41252
5416 Fair Ave,Los Angeles,CA,91601,The Gallery @ Noho Commons ,Monique,Clark,03/06/1997,126220
